Time,PM1 (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),TSP (µg/m³),8PC0.3 (/L),8PC0.5 (/L),8PC0.7 (/L),8PC1.0 (/L),8PC2.0 (/L),8PC3.0 (/L),8PC5.0 (/L),8PC10 (/L),Battery voltage (V),Inlet,Year,Month,Day of Year,Week of Year,Day of Week
2023-02-26 10:30:00,0.29250000000000004,0.6793333333333335,1.2071666666666663,1.8299999999999998,1265.2,321.9166666666667,145.73333333333332,96.01666666666667,37.63333333333333,7.866666666666666,2.0,0.1,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 11:30:00,0.24600000000000005,0.5310000000000001,0.9121666666666666,1.2476666666666667,1086.1333333333334,247.96666666666667,108.28333333333333,70.33333333333333,27.933333333333334,5.766666666666667,1.3,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 12:30:00,0.15200000000000008,0.3338333333333334,0.7023333333333335,1.037666666666667,659.5333333333333,161.01666666666668,69.65,47.36666666666667,21.1,5.6,1.4666666666666666,0.06666666666666667,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 13:30:00,0.14116666666666663,0.2678333333333333,0.5153333333333334,0.7068333333333334,658.1333333333333,118.88333333333334,48.18333333333333,33.03333333333333,15.566666666666666,4.05,0.85,0.016666666666666666,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 14:30:00,0.15250000000000005,0.2696666666666667,0.6693333333333332,1.3396666666666668,779.1166666666667,102.63333333333334,45.15,32.9,17.916666666666668,6.0,2.0,0.13333333333333333,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 15:30:00,0.16466666666666666,0.2716666666666667,0.6743333333333332,1.393,849.15,100.2,41.85,31.15,16.95,6.35,2.066666666666667,0.1,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 16:30:00,0.17200000000000001,0.2458333333333334,0.46299999999999997,0.7025000000000001,899.8666666666667,82.8,28.85,20.516666666666666,9.916666666666666,3.2666666666666666,0.9833333333333333,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 17:30:00,0.16266666666666668,0.2535000000000001,0.46449999999999997,0.8233333333333334,836.0166666666667,92.25,34.516666666666666,24.283333333333335,11.283333333333333,3.3666666666666667,0.8333333333333334,0.016666666666666666,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 18:30:00,0.23950000000000002,0.32183333333333347,0.5238333333333334,0.8831666666666667,1254.3166666666666,106.43333333333334,33.083333333333336,21.966666666666665,10.266666666666667,3.15,0.9,0.1,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 19:30:00,0.6305000000000001,0.7236666666666669,0.8806666666666663,1.048333333333333,3389.55,204.65,38.85,22.1,9.183333333333334,2.283333333333333,0.5666666666666667,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
